brand_name,product_name,product_price,sub_url
대상,청정원순창 100% 현미 태양초 찰고추장,"6,660",https://www.coupang.com//vp/products/4549361197?itemId=5519309676&vendorItemId=72818853636
청정원순창,청정원순창 100% 현미 태양초 찰고추장,"10,110",https://www.coupang.com//vp/products/96414?itemId=1015299&vendorItemId=3001106979
해찬들,해찬들 태양초 골드 고추장 1kgX1개,"7,940",https://www.coupang.com//vp/products/83668?itemId=171160&vendorItemId=3000094944
대상,청정원순창 100% 현미 태양초 찰고추장,"10,110",https://www.coupang.com//vp/products/1391401782?itemId=2426762565&vendorItemId=70420768185&pickType=COU_PICK
순창궁,순창궁 태양초 골드 고추장,"7,980",https://www.coupang.com//vp/products/162382810?itemId=466532598&vendorItemId=4163174404
대상,청정원순창 태양초 고추장 사각,"5,070",https://www.coupang.com//vp/products/5339939?itemId=24241432&vendorItemId=3035694953
대상,청정원순창 태양초 매운 고추장,"7,480",https://www.coupang.com//vp/products/2425990?itemId=189031&vendorItemId=3000131281
,해표 순창궁 태양초 고추장,"8,630",https://www.coupang.com//vp/products/16384965?itemId=66804148&vendorItemId=3106589952
해표,순창궁 우리햅쌀 고추장,"5,690",https://www.coupang.com//vp/products/72489?itemId=154133&vendorItemId=3000080408
진미,진미 청매실 찰고추장,"8,880",https://www.coupang.com//vp/products/1741561?itemId=29261615&vendorItemId=3000168127
청정원순창,청정원순창 100% 현미 태양초 찰고추장,"4,750",https://www.coupang.com//vp/products/96414?itemId=30609454&vendorItemId=3000145295
대상,청정원순창 100% 현미 태양초 찰고추장,"14,540",https://www.coupang.com//vp/products/2299719326?itemId=3961707225&vendorItemId=71946104689
순창궁,해표 순창궁 태양초 골드 고추장,"7,060",https://www.coupang.com//vp/products/12161928?itemId=51897864&vendorItemId=3000080339
대상,청정원순창 태양초 고추장 사각,"8,150",https://www.coupang.com//vp/products/2299805889?itemId=3961832921&vendorItemId=71946229557
대상,청정원순창 태양초 매운 고추장,"14,320",https://www.coupang.com//vp/products/2425990?itemId=1015398&vendorItemId=3001107891
올가홀푸드,올가 찹쌀고추장,"12,500",https://www.coupang.com//vp/products/179247935?itemId=513444570&vendorItemId=4320745283
순창궁,순창궁 우리햅쌀 태양초 고추장,"3,880",https://www.coupang.com//vp/products/72489?itemId=154132&vendorItemId=3000080407
,프리미엄 고추장 국내산 100% 국산 찹쌀 고추장,"13,500",https://www.coupang.com//vp/products/4648233072?itemId=5791808038&vendorItemId=73090313203
진미,진미 청매실 태양초고추장,"5,420",https://www.coupang.com//vp/products/152036494?itemId=438890715&vendorItemId=4085644057
순창궁,해표 순창궁태양초 고추장,"22,020",https://www.coupang.com//vp/products/16384965?itemId=297870767&vendorItemId=70755867098
해찬들,해찬들 태양초 골드 고추장,"10,990",https://www.coupang.com//vp/products/4758352040?itemId=6060872960&vendorItemId=73209494415
순창궁,해표 순창궁 우리햅쌀 태양초 고추장,"16,220",https://www.coupang.com//vp/products/14159?itemId=41551&vendorItemId=3000014819
대상,청정원순창 100% 현미 골드 태양초 덜매운 고추장,"7,100",https://www.coupang.com//vp/products/428591?itemId=1138108&vendorItemId=3001107929
,순창 명인 고추장 수제 찹쌀고추장 매실고추장 매운청량고추장 보리고추장 1kg,"37,520",https://www.coupang.com//vp/products/4787370609?itemId=6128639582&vendorItemId=73424926453
대상,청정원순창 태양초 현미 찰고추장,"6,020",https://www.coupang.com//vp/products/2451805?itemId=1015294&vendorItemId=3001106713
윤지영,윤지영 고추장,"6,600",https://www.coupang.com//vp/products/1638659?itemId=7140458&vendorItemId=3009551661
청정원순창,청정원순창 100% 현미 태양초 찰고추장,"12,320",https://www.coupang.com//vp/products/96414?itemId=1015300&vendorItemId=3001106980
대상,청정원순창 태양초 매운 고추장,"17,360",https://www.coupang.com//vp/products/2425990?itemId=1015396&vendorItemId=70008023574
해찬들,해찬들 매운 태양초 골드 고추장 1kg,"10,700",https://www.coupang.com//vp/products/160479?itemId=171885&vendorItemId=70919657320
대상,청정원 순창 태양초 매운 고추장,"5,520",https://www.coupang.com//vp/products/96747?itemId=1015395&vendorItemId=3001107888
순창궁,해표 순창궁 태양초고추장,"21,540",https://www.coupang.com//vp/products/16384965?itemId=346924589&vendorItemId=3001029243
대상,대상 청정원순창 햇살담은 태양초 고추장 사각,"13,520",https://www.coupang.com//vp/products/1391906916?itemId=2427295334&vendorItemId=70421295393
